04_28_2017_07_27, 67, 2017-04-28T10:27:04.000+0300, 1005, 11, 236, 0
04_28_2017_07_37, 65, 2017-04-28T10:37:33.000+0300, 1005, 12, 264, 0
04_28_2017_07_48, 63, 2017-04-28T10:48:02.000+0300, 1005, 12, 286, 0
04_28_2017_07_58, 63, 2017-04-28T10:58:31.000+0300, 1005, 12, 325, 0
04_28_2017_08_09, 63, 2017-04-28T11:09:01.000+0300, 1005, 12, 365, 0
04_28_2017_08_19, 62, 2017-04-28T11:19:30.000+0300, 1005, 13, 416, 0
04_28_2017_08_29, 62, 2017-04-28T11:29:59.000+0300, , 14, , 
04_28_2017_08_40, 52, 2017-04-28T11:40:29.000+0300, 1005, 18, 566, 0
04_28_2017_08_50, 56, 2017-04-28T11:50:59.000+0300, 1005, 15, 641, 0
04_28_2017_09_01, 46, 2017-04-28T12:01:29.000+0300, 1005, 19, 1044, 0
04_28_2017_09_11, 47, 2017-04-28T12:11:30.000+0300, 1005, 19, 1069, 0
04_28_2017_09_22, 50, 2017-04-28T12:22:01.000+0300, 1005, 17, 1169, 0
04_28_2017_09_32, 49, 2017-04-28T12:32:02.000+0300, 1005, 18, 1635, 0
04_28_2017_09_42, 47, 2017-04-28T12:42:33.000+0300, 1005, 19, 1854, 0
04_28_2017_09_52, 46, 2017-04-28T12:52:34.000+0300, 1005, 20, 1959, 0
04_28_2017_10_03, 46, 2017-04-28T13:03:06.000+0300, 1005, 20, 2027, 0
04_28_2017_10_13, 45, 2017-04-28T13:13:38.000+0300, 1005, 20, 2116, 0
04_28_2017_10_24, 45, 2017-04-28T13:24:10.000+0300, 1005, 20, 2228, 0
04_28_2017_10_34, 40, 2017-04-28T13:34:11.000+0300, 1005, 23, 2221, 0
04_28_2017_10_44, 39, 2017-04-28T13:44:44.000+0300, 1005, 23, 2552, 0
04_28_2017_10_55, 39, 2017-04-28T13:55:16.000+0300, 1005, 24, 2708, 0
04_28_2017_11_05, 40, 2017-04-28T14:05:49.000+0300, 1005, 23, 2670, 0
04_28_2017_11_16, 41, 2017-04-28T14:16:22.000+0300, 1005, 24, 2563, 0
04_28_2017_11_26, 38, 2017-04-28T14:26:23.000+0300, 1005, 25, 2695, 0
04_28_2017_11_36, 41, 2017-04-28T14:36:56.000+0300, 1005, 23, 851, 0
04_28_2017_11_47, 41, 2017-04-28T14:47:29.000+0300, 1005, 23, 746, 0
04_28_2017_11_58, 42, 2017-04-28T14:58:02.000+0300, 1005, 23, 623, 0
04_28_2017_12_08, 40, 2017-04-28T15:08:34.000+0300, 1005, 23, 502, 0
04_28_2017_12_19, 41, 2017-04-28T15:19:06.000+0300, 1005, 23, 436, 0
04_28_2017_12_29, 40, 2017-04-28T15:29:39.000+0300, 1005, 23, 389, 0
04_28_2017_12_40, 40, 2017-04-28T15:40:11.000+0300, 1004, 23, 363, 0
04_28_2017_12_50, 41, 2017-04-28T15:50:43.000+0300, 1004, 23, 351, 0
04_28_2017_13_01, 41, 2017-04-28T16:01:16.000+0300, 1004, 23, 358, 0
04_28_2017_13_11, 42, 2017-04-28T16:11:17.000+0300, 1004, 24, 385, 0
04_28_2017_13_21, 40, 2017-04-28T16:21:49.000+0300, 1004, 24, 360, 0
04_28_2017_13_32, 41, 2017-04-28T16:32:22.000+0300, 1004, 24, 325, 0
04_28_2017_13_42, 41, 2017-04-28T16:42:54.000+0300, 1004, 24, 345, 0
